iter	Passed	Remaining
566	48702	37192
567	48796	37112
568	48935	37066
569	49126	37060
570	49232	36988
571	49320	36904
572	49412	36822
573	49488	36728
574	49582	36648
575	49677	36568
576	49767	36484
577	49864	36406
578	49955	36323
579	50050	36243
580	50139	36158
581	50235	36079
582	50317	35990
583	50395	35898
584	50479	35810
585	50560	35719
586	50650	35636
587	50746	35556
588	50832	35470
589	50922	35386
590	51007	35299
591	51089	35210
592	51174	35123
593	51261	35037
594	51360	34959
595	51447	34873
596	51536	34789
597	51632	34709
598	51720	34624
599	51809	34539
600	51897	34454
601	51990	34372
602	52079	34287
603	52169	34203
604	52257	34118
605	52346	34033
606	52433	33947
607	52525	33864
608	52618	33783
609	52704	33696
610	52776	33600
611	52866	33516
612	52962	33436
613	53054	33353
614	53139	33266
615	53219	33176
616	53311	33092
617	53400	33008
618	53498	32928
619	53585	32842
620	53665	32752
621	53760	32671
622	53850	32586
623	53941	32503
624	54042	32425
625	54132	32341
626	54232	32262
627	54325	32179
628	54418	32097
629	54508	32012
630	54601	31929
631	54695	31847
632	54787	31764
633	54878	31680
634	54972	31598
635	55058	31511
636	55135	31419
637	55218	31330
638	55310	31247
639	55401	31163
640	55499	31083
641	55586	30996
642	55674	30911
643	55769	30829
644	55867	30748
645	55953	30661
646	56050	30580
647	56148	30500
648	56240	30416
649	56316	30324
650	56403	30237
651	56495	30154
652	56585	30069
653	56674	29983
654	56772	29903
655	56862	29818
656	56958	29736
657	57047	29650
658	57138	29566
659	57229	29481
660	57322	29398
661	57412	29313
662	57494	29224
663	57590	29142
664	57686	29059
665	57780	28976
666	57872	28892
667	57966	28809
668	58060	28726
669	58155	28643
670	58245	28558
671	58333	28472
672	58419	28385
673	58512	28301
674	58604	28216
675	58690	28129
676	58778	28043
677	58869	27958
678	58946	27867
679	59038	27783
680	59133	27699
681	59230	27617
682	59313	27529
683	59399	27442
684	59482	27353
685	59577	27270
686	59659	27181
687	59747	27094
688	59838	27009
689	59927	26924
690	60021	26840
691	60112	26755
692	60207	26671
693	60293	26584
694	60383	26499
695	60476	26414
696	60567	26329
697	60650	26241
698	60738	26154
699	60823	26067
700	60911	25980
701	60999	25894
702	61093	25810
703	61175	25721
704	61262	25634
705	61360	25552
706	61454	25468
707	61549	25384
708	61644	25301
709	61735	25216
710	61833	25133
711	61935	25052
712	62019	24964
713	62112	24879
714	62208	24796
715	62294	24708
716	62386	24624
717	62484	24541
718	62574	24455
719	62661	24368
720	62748	24281
721	62837	24194
722	62928	24109
723	63015	24022
724	63108	23937
725	63200	23852
726	63292	23767
727	63394	23685
728	63481	23598
729	63579	23515
730	63670	23430
731	63768	23347
732	63864	23263
733	64039	23207
734	64268	23171
735	64389	23096
736	64519	23023
737	64627	22943
738	64724	22859
739	64817	22773
740	64907	22686
741	64992	22598
742	65081	22511
743	65162	22421
744	65254	22335
745	65346	22249
746	65437	22162
747	65528	22076
748	65621	21990
749	65712	21904
750	65810	21820
751	65905	21734
752	65996	21648
753	66081	21559
754	66173	21473
755	66267	21387
756	66354	21300
757	66443	21212
758	66533	21125
759	66629	21040
760	66723	20955
761	66821	20870
762	66918	20785
763	67008	20698
764	67101	20612
765	67186	20524
766	67286	20440
767	67379	20354
768	67475	20268
769	67561	20180
770	67658	20095
771	67748	20008
772	67837	19921
773	67927	19833
774	68026	19749
775	68117	19662
776	68201	19574
777	68306	19490
778	68396	19403
779	68498	19319
780	68589	19233
781	68702	19152
782	68791	19064
783	68880	18977
784	68976	18891
785	69061	18803
786	69160	18718
787	69253	18631
788	69338	18543
789	69436	18457
790	69523	18369
791	69615	18282
792	69696	18193
793	69784	18105
794	69867	18016
795	69950	17927
796	70052	17842
797	70142	17755
798	70230	17667
799	70319	17579
800	70414	17493
801	70506	17406
802	70597	17319
803	70690	17233
804	70787	17147
805	70885	17061
806	70959	16970
807	71054	16884
808	71137	16795
809	71234	16709
810	71322	16621
811	71411	16533
812	71496	16445
813	71596	16359
814	71690	16273
815	71778	16185
816	71866	16097
817	71962	16011
818	72054	15924
819	72145	15836
820	72240	15750
821	72329	15662
822	72426	15576
823	72514	15488
824	72605	15401
825	72676	15309
826	72764	15221
827	72856	15134
828	72947	15047
829	73031	14958
830	73120	14870
831	73209	14782
832	73297	14694
833	73392	14608
834	73483	14520
835	73583	14435
836	73677	14348
837	73774	14261
838	73873	14176
839	73967	14089
840	74064	14002
841	74160	13916
842	74258	13829
843	74351	13742
844	74453	13657
845	74542	13569
846	74631	13481
847	74726	13394
848	74811	13305
849	74909	13219
850	75002	13132
851	75102	13045
852	75196	12958
853	75277	12869
854	75363	12780
855	75458	12693
856	75557	12607
857	75638	12518
858	75729	12430
859	75814	12341
860	75913	12255
861	76009	12168
862	76104	12081
863	76186	11992
864	76281	11905
865	76368	11816
866	76457	11728
867	76550	11641
868	76641	11553
869	76733	11465
870	76826	11378
871	76917	11290
872	77013	11203
873	77103	11115
874	77200	11028
875	77291	10940
876	77375	10851
877	77474	10765
878	77573	10678
879	77654	10589
880	77749	10501
881	77848	10415
882	77952	10328
883	78052	10242
884	78149	10154
885	78244	10067
886	78327	9978
887	78417	9890
888	78511	9802
889	78593	9713
890	78678	9625
891	78771	9537
892	78860	9449
893	78959	9362
894	79060	9275
895	79149	9186
896	79238	9098
897	79339	9011
898	79425	8923
899	79519	8835
900	79606	8747
901	79704	8659
902	79803	8572
903	79891	8484
904	79983	8396
905	80075	8308
906	80179	8221
907	80295	8135
908	80411	8050
909	80502	7961
910	80602	7874
911	80723	7789
912	80805	7699
913	80908	7612
914	81002	7524
915	81128	7439
916	81246	7353
917	81365	7267
918	81530	7186
919	81654	7100
920	81752	7012
921	81844	6923
922	81942	6835
923	82030	6747
924	82116	6658
925	82238	6571
926	82355	6485
927	82507	6401
928	82598	6312
929	82682	6223
930	82776	6134
931	82876	6046
932	82964	5957
933	83084	5871
934	83185	5782
935	83289	5695
936	83440	5610
937	83568	5523
938	83673	5435
939	83765	5346
940	83856	5257
941	83952	5169
